time,client_id,temperature,humidity
2019-07-31 02:35:26,node00,29.30,95.00
2019-07-31 02:39:58,node00,29.30,95.00
2019-07-31 02:44:30,node00,29.35,95.00
2019-07-31 02:49:03,node00,29.30,95.00
2019-07-31 02:53:34,node00,29.31,95.00
2019-07-31 02:58:06,node00,29.31,95.00
2019-07-31 03:02:38,node00,29.20,95.00
2019-07-31 03:07:10,node00,29.31,95.00
2019-07-31 03:11:42,node00,29.30,95.00
2019-07-31 03:16:14,node00,29.31,95.00
2019-07-31 03:20:46,node00,29.48,95.00
2019-07-31 03:25:18,node00,29.48,95.00
2019-07-31 03:29:50,node00,29.60,95.00
2019-07-31 03:34:22,node00,29.54,95.00
2019-07-31 03:38:54,node00,29.49,95.00
2019-07-31 03:43:26,node00,29.52,95.00
2019-07-31 03:47:58,node00,29.60,95.00
2019-07-31 03:52:30,node00,29.54,95.00
2019-07-31 03:57:03,node00,29.60,95.00
2019-07-31 04:01:34,node00,29.61,95.00
2019-07-31 04:06:06,node00,29.59,95.00
2019-07-31 04:10:39,node00,29.60,95.00
2019-07-31 04:15:11,node00,29.60,95.00
2019-07-31 04:19:43,node00,29.63,95.00
2019-07-31 04:24:14,node00,29.62,95.00
2019-07-31 04:28:46,node00,29.60,95.00
2019-07-31 04:33:19,node00,29.71,95.00
2019-07-31 04:37:51,node00,29.73,95.00
2019-07-31 04:42:22,node00,29.60,95.00
2019-07-31 04:46:54,node00,29.60,95.00
2019-07-31 04:51:27,node00,29.60,95.00
2019-07-31 04:55:59,node00,29.56,95.00
2019-07-31 05:00:31,node00,29.58,95.00
2019-07-31 05:05:03,node00,29.60,95.00
2019-07-31 05:09:35,node00,29.55,95.00
2019-07-31 05:14:07,node00,29.60,95.00
2019-07-31 05:18:39,node00,29.60,95.00
2019-07-31 05:23:11,node00,29.52,95.00
2019-07-31 05:27:43,node00,29.54,95.00
2019-07-31 05:32:15,node00,29.52,95.00
2019-07-31 05:36:47,node00,29.58,95.00
2019-07-31 06:17:41,node00,29.37,95.00
2019-07-31 06:22:14,node00,29.30,95.00
2019-07-31 06:26:46,node00,29.29,95.00
2019-07-31 06:31:18,node00,29.21,95.00
2019-07-31 06:35:50,node00,29.36,95.00
2019-07-31 06:40:22,node00,29.35,95.00
2019-07-31 06:44:53,node00,29.39,95.00
2019-07-31 06:49:25,node00,29.37,95.00
2019-07-31 06:53:58,node00,29.39,95.00
2019-07-31 06:58:29,node00,29.40,95.00
2019-07-31 10:11:43,node00,30.20,95.00
2019-07-31 10:16:15,node00,30.18,95.00
2019-07-31 10:20:47,node00,30.25,95.00
2019-07-31 10:25:19,node00,30.23,95.00
2019-07-31 10:29:51,node00,30.13,95.00
2019-07-31 10:34:23,node00,29.86,95.00
2019-07-31 10:38:55,node00,29.68,95.00
2019-07-31 10:43:27,node00,29.69,95.00
2019-07-31 10:47:59,node00,29.68,95.00
2019-07-31 10:52:31,node00,29.26,95.00
2019-07-31 10:57:03,node00,29.37,95.00
2019-07-31 11:01:35,node00,29.60,95.00
2019-07-31 11:06:07,node00,29.60,95.00
2019-07-31 11:10:39,node00,29.60,95.00
2019-07-31 11:15:11,node00,29.60,95.00
2019-07-31 11:19:43,node00,29.54,95.00
2019-07-31 11:24:15,node00,29.36,95.00
2019-07-31 11:29:39,node00,28.60,95.00
2019-07-31 11:34:11,node00,27.20,95.00
2019-07-31 11:35:06,node00,28.80,95.00
2019-07-31 11:36:56,node00,26.70,95.00
2019-07-31 11:37:53,node00,28.60,95.00
2019-07-31 11:42:25,node00,28.42,95.00
